Street Address,Location Name,Location Type,Specific Location Type,Location notes,Latitude,Longitude,Visits
"1701 Hardee Ave, S. W.",Fort McPherson,Government/Organization,Army Base,,33.70308109,-84.43221727,15
Blvd South SE & Hansell Street,,Roadway,Street,"""one street south of Sidney St on Blvd'",33.73980963,-84.36813832,1
1091 Woodland Ave,,Residence,,,33.724816,-84.353792,1
"115 McClelland Ave, East Point",,Residence,,Number too high - approx,33.69861696,-84.43138928,1
"126 Ellis St, N. E.",Regal Hotel,Business,Hotel ,,33.75862236,-84.38376348,3
"132 Decatur St, S. E.",Mosky's,Business,Secondhand Dealer,,33.7523868,-84.38561079,1
Pickwick Hotel,,Business,Hotel,,33.75795222,-84.38888191,3
"161 Hale St, N. E.",,Residence,,,33.75920557,-84.35907619,1
"161 Pryor St, S. W.",Austern Soda Co.,Hospitality ,Soda Store,,33.75293662,-84.39005719,1
1647 Jonesboro Rd,,Business,Cleaner,,33.7077848,-84.38026351,2
"180 Decatur St, S. E.",,Business,Secondhand Dealer,,33.75123784,-84.38403822,1
237 Georgia Ave,,Residence,,,33.73747464,-84.37977853,1
"251 Walker St, S. W.",Mechanics Overall Laundry,Business,Laundry,,33.74809928,-84.40295396,2
"256 Walker St,  S. W.",American Laundry,Business,Laundry,,33.74775166,-84.40267148,34
"268-274 Walker St, S. W.",Charlie's Restaurant,Hospitality ,Restaurant,,33.74758777,-84.40280349,15
288 Washington St,,Business,Produce merchant,,33.74643636,-84.39134161,1
304 Pulliam St,,Residence,,,33.74728893,-84.39232995,1
330 1/2 Trenholm S,,Residence,,,33.74638853,-84.40432757,1
"361 Moreland Ave, N. E.",Flowers Laundry,Business,Laundry,,33.7650855,-84.34867908,1
"370 Lee St, S. W.",American Ice Co.,Business,Ice Co.,This is too far south - not more Lee St,33.74459982,-84.4139901,1
"394 Washington St, S. W.",,Residence,,,33.74424759,-84.39268031,2
"444 Decatur St, S. E.",,Business,Unspecified,,33.75119022,-84.37379676,1
"444 Edgewood Ave, N. E. ",,Business,Unspecified,,33.75455919,-84.37292232,1
5-A Journal Way,Plaza Hotel,Business,Hotel,Found on 1949 Downtown Map,33.75407863,-84.39229342,1
510 South Boulevard,,Residence,,could be NE or SE - SE based on other addresses given,33.74108067,-84.36762797,3
"520 Park Drive, N. E.",,Residence,,,33.78695463,-84.37025836,1
"560 Berne St, S.E.",,Residence,,,33.73754922,-84.36924192,2
"631 Glenwood Place, S. E",,Residence,,,33.73699659,-84.35530194,2
632 Peeples St,,Residence,,,33.73776243,-84.42020018,1
"72 Pryor St, S. W.",Bentley Hotel,Business,Hotel,,33.75260098,-84.38998875,1
80 Alabama St,Bartell's Army Store,Business,Store,,33.75268253,-84.39058328,1
"83 Ivy St, N. E.",Nu Felton Hotel,Business,Hotel,Renamed Peachtree Center Ave - see 1949 Map,33.7568639,-84.38584786,1
"84 Decatur St, S. E.",,Business,Liquor store,,33.75287867,-84.38706145,1
851 Stewart Ave,,Residence,,,33.73975195,-84.40824494,5
"855 Peachtree St, N. E.",Atlanta Journal,Business,Newspaper,,33.777924,-84.38416566,1
857 Greenwood Ave,,Business,Butcher,,33.77665903,-84.3592805,1
"87 Harris St, N. W.",Avalon Hotel,Business,Hotel,,33.76112205,-84.38478901,1
"94 11th St, N. E.",,Residence,,,33.78332204,-84.38408705,4
"943 West View Drive, S. W.",,Residence,,Now campus,33.747138,-84.42223366,1
Confederate Avenue,,Roadway,Car,Renamed United Ave,33.72669511,-84.35771628,1
Houston St  & Pryor St,Avon Hotel,Business,Hotel,,33.75719634,-84.3875889,1
Houston St,Wilmot Hotel,Business,Hotel,,33.75723202,-84.38421469,1
Lee St (next to Fort),,Hospitality ,Drive-in,,33.70849388,-84.42770565,1
Peters St,,Business,Store,,33.74710042,-84.40230672,1
Pryor & Alabama St S. W.,Jefferson Hotel,Business,Hotel,,33.75259135,-84.3900123,2
Pryor St,Tallulah Hotel,Business,Hotel,Approx,33.75029877,-84.39178253,1
South Boulevard SE,,Business,Drug store,Approx,33.73695879,-84.36819659,3
Boulevard SE & Memorial Drive,,Roadway,Street,,33.74668975,-84.36813242,1
W. Mitchell and Haynes St,Dixie Bargain Store,Business,Secondhand Dealer,,33.75388876,-84.4014772,2
Walker St (near American Laundry),,Business,Gas station,,33.74646278,-84.40361605,10
Broad St & Peachtree St,Piedmont Hotel,Business,Hotel,,33.75655731,-84.38873395,1
"3189 Atlanta Rd, SE, Smyrna",Brawner Sanitarium,Government/Organization,,,33.87553231,-84.50738298,1
On Peters St,Drive Inn,Hospitality ,Bar,Approx,33.74760891,-84.40210285,1
Along Peters St,,Business,Liquor store,Approx,33.74691309,-84.40273588,3
Murphy Ave opposite Ft McPherson,Cluett & Peabody Shirt Factory,Business,Factory,Approx,33.69869685,-84.4276269,1
Pryor & Alabama St ,Mill End Store,Business,Store,,33.75265349,-84.39009568,1
Near Highway 41,Stonewall Tourist Park,Business,Motel,Approx,33.95053414,-84.52118827,2
In Marietta,Marietta Hotel,Business,Hotel,Approx,33.95672908,-84.55060042,1
