Address,Location Name,Location Type,Specific Location Type,Visits,Latitude,Longitude,
1063 Gerard Ave,,Residence,,3,40.8321393,-73.92248681,
1063 Gerard Ave,,Neighborhood & Parks,,3,40.83169083,-73.92261519,
"East 10th St & Avenue D, nthwest cnr",Corn Exchange Bank,Business,Bank,52,40.72505251,-73.97511783,
East 11th St & Avenue D,Corn Exchange Bank,Business,Bank,1,40.72558925,-73.97476147,
1217 77th St,,Residence,,11,40.62400764,-74.00790758,
1218 77th St,,Residence,,1,40.62018033,-74.01044579,
133 Avenue D,,Hospitality,Lunchroom,1,40.7247191,-73.97564669,
1342 Franklin Ave,,Residence,,5,40.83503157,-73.89930176,
1349 Lexington Ave,Bell Cleaners,Business,Dry Cleaning,1,40.78187312,-73.95351571,
13th Ave & 77th St,Esso,Business,Gas station,2,40.6193382,-74.00869812,
144 Columbia Street,Capital Coffee Pot & Lunch,Hospitality,Lunchroom,2,40.72004771,-73.97835434,
145 East Kingsbridge Rd,,Residence,,1,40.86648944,-73.89482267,
14th St & 1st Ave,Second Ave Line,Transportation,Subway station,18,40.73147884,-73.98255244,
14th St & 3rd Ave,,Neighborhood & Parks,,1,40.7334527,-73.98718618,
1519 3rd Avenue,,Hospitality,Coffee Shop,1,40.77840741,-73.95401201,
154 Nassau Street,,,,3,40.71187666,-74.00530871,
155 East 84th Street,,Residence,,15,40.7786746,-73.95579289,
167 Avenue B,,Hospitality,Lunchroom,3,40.72734568,-73.97943529,
169th Street,Third Avenue Live,Transportation,Subway station,3,40.83315169,-73.90573662,
175 East 52nd St,,Residence,,20,40.75749696,-73.97002496,
177 South 9th Street,,Residence,,9,40.70871592,-73.9620701,
1845 32nd St,,Residence,,1,40.61091019,-73.93663119,
86th St & 18th Ave,Steinbeck's Hat Renovating Store,Business,Hat Repair store,1,40.60928644,-74.00273634,
191 Avenue B,Charles Jewelry Store,Business,Jeweller,1,40.68397903,-74.10886261,
1st Ave between East 14th & 15th,,Roadway,Street,1,40.73177276,-73.98229395,
2112 35th St,,Residence,,1,40.77665062,-73.90715235,
211 Avenue C,,Hospitality,Bar,1,40.72831353,-73.97624366,
211-213 Hunterdon St,,Residence,,4,40.73805614,-74.19275636,
21-54 Crescent Street,,Residence,,44,40.78070338,-73.91349633,
21-55 Crescent Street,,Residence,,1,40.77963819,-73.91331303,
21-63 29th St,Immaculate Conception Church,Government/Organization,Church,2,40.77754124,-73.91080694,
