Address,Visits,Longitude,Latitude,Name,Location Type
1 East Main Street,2,-71.61265492,42.26971088,Westboro Post Office,Government/Organization
327 East 22nd Street,1,-73.979932,40.736805,13th Precinct,Government/Organization
167 East 51st Street,1,-73.970777,40.756742,17th Precinct,Government/Organization
153 East 67th Street,1,-73.963865,40.767159,19th Precinct,Government/Organization
150 West 29th Street,1,-73.992117,40.747296,50 West 29th St in later reports,Residence
19 Elisabeth Street,1,-73.99733,40.716175,5th Precinct (Elisabeth Street Police Station),Government/Organization
118 Clinton Street,1,-73.993223,40.693098,7th Precinct,Government/Organization
500 Broadway,1,-73.99842167,40.30028636,A.Hollander Fur Plant,Business
2334 1st Ave,1,-73.933415,40.798358,Apt 25 where mail has been mailed to dover from,Residence
154 Berkeley St,1,-71.0724359,42.34938923,Boston Police Headquarters,Government/Organization
151 Watertown Street,3,-71.192817,42.363189,Brae Burn Nurseries,Business
130 Rockaway Ave,2,-73.91117368,40.67909393,Brooklyn Palace,Entertainment
East 28th Street and Fifth Ave,1,-73.987298,40.744694,Building at East 28th Street and Fifth Ave,
6 Phillips St,2,-71.61596763,42.27006994,"Burnet Hat Factory (Westborough, MA)",Business
114 East 14th Street,1,-73.98886446,40.73391783,City Theater  (NYC),Entertainment
Lexington Ave & 26th St,1,-73.983365,40.741417,Columbian Restaurant,Hospitality
555 Broadway,5,-74.001049,40.300096,Cossentino's Poolroom,Hospitality
East 14th St and 3rd Ave,1,-73.987198,40.733291,Diana Ball Room,Entertainment
Milk and Phillips St,1,-71.61614196,42.27063168,Courtney's Diner,Hospitality
Corner of North Broadway and Long Branch Ave,3,-73.982364,40.305784,Dress Factory,Business
131 Bowery,4,-73.994474,40.718563,Dumas Restaurant,Hospitality
145 Galen Street,3,-71.185644,42.360034,Mr. Gallo's Italian Restaurant,Hospitality
Bedford Ave & Atlantic Ave,1,-73.95301248,40.67881511,New Palace Barber Shop,Business
674 Myrtle Avenue,2,-73.956838,40.694322,Olde Tavern,Hospitality
227 West 45th,1,-73.97177,40.752406,Picadilly Hotel,Hospitality
Pitkin Avenue and Snediker Avenue,1,-73.90122226,40.67171994,"Eastern Parkway Station, Brooklyn",Transportation
W Railroad Ave & Essex St,1,-74.04682525,40.89174986,Essex Street Station,Transportation
357 Broadway,1,-73.994158,40.303715,J and J Welcome Cigar Store,Business
224 3rd Ave,2,-73.98827481,40.29708342,Long Branch Train Station,Transportation
Paulus Hook,1,-74.03277054,40.71377858,Jersey City Ferry Station,Transportation
178 Broadway,1,-73.96248697,40.7099639,Luger's Restaurant,Business
