Location Name,Locality,Type,Street Address,Longitude,Latitude,,Visits (can be multiple per day)
401 East Yandell Street,El Paso,,,-106.4893098,31.76432835,,1
521 South El Paso Street,El Paso,Street,521 South El Paso,-106.48808,31.7545,,1
819 S El Paso,El Paso,,,-106.4872676,31.7518748,,1
823 S El Paso,El Paso,,,-106.48724,31.75177,,1
Alcazar Theatre,El Paso,Theater,508 South El Paso,-106.48795,31.75478,,1
Alva Eustacio 2nd hand goods,El Paso,,,-106.488109,31.75461705,,2
Ames or Melvin Dentist,El Paso,Service,111 North Mesa Street,-106.487068,31.75858735,,1
"Apartment House, 7th & Oregon",El Paso,Apartment House,,-106.485676,31.7512063,,2
Apex Inn,El Paso,,,-106.487198,31.76593914,,3
Arizona Bar,El Paso,Bar,409 South El Paso St,-106.4884917,31.75566904,,3
Azteca Auto Service,El Paso,Garage,,-106.4838436,31.75597749,,2
Budweiser Beer Distributing CO,El Paso,,,-106.484433,31.76164684,,1
Bus Stop [Mills & Oregon],El Paso,,,-106.4882911,31.75903418,,1
Bus Stop [San Francisco & El Paso],El Paso,Bus stop,100 S El Paso Street,-106.4892146,31.75827508,,11
C & M Auto Wrecking,El Paso,,,-106.48137,31.75722851,,1
Cactus Barber Shop,El Paso,,103 Texas Ave,-106.4877231,31.75918164,,1
California Poppy Bar & Café ,El Paso,,,-106.4883336,31.75550793,,2
Canner Motor Co. ,El Paso,,,-106.48701,31.7650338,,1
"Canutillo, TX","Canutillo, TX",,,-106.60043,31.91568433,,1
Casner Motor Co.,El Paso,,,-106.4865126,31.76507777,,1
Ceferino Anchondo's Residence,Upper Smeltertown,,Upper Smelter,-106.5217149,31.78123653,,2
"Central Heights, AZ","Central Heights, AZ",,,-110.8152029,33.41325173,,1
Club House Café,El Paso,,,-106.489165,31.75788545,,1
Colon Theater,El Paso,Theater,505-9 South El Paso,-106.48823,31.7548951,,5
Daniel Rodriquez's Residence,Lower Smeltertown,,,-106.52617,31.78152,Approx,1
"Deming, NM","Deming, NM",,,-107.758707,32.26864239,,4
Dry Goods Store,"Lordsburg, NM",,,-108.71018,32.34567,,1
"Dusty, NM","Dusty, NM",,,-107.6520657,33.60660844,,1
Eduardo Castaneda's Residence,Upper Smeltertown,,,-106.52126,31.78128,,5
Eight Five Service Station,El Paso,Garage,120 West San Antonio,-106.4897483,31.75725161,,3
Eight Five Taxi,El Paso,Taxi stand,115 West San Antonio,-106.4895444,31.75742921,,30
El Ato,Upper Smeltertown,Neighborhood,,-106.52065,31.78052,,5
El Bajo ,Lower Smeltertown,Neighborhood,,-106.52633,31.78227,Approx,9
